subscription_id,account_id,plan_tier,is_trial,mrr_amount,arr_amount,billing_frequency,auto_renew_flag,churn_flag,total_usage_count,total_usage_duration_secs,total_error_count,distinct_features_used,usage_records,activated_flag,referral_source,industry
S-99fbf7,A-7dacce,Enterprise,False,2388,28656,annual,True,False,65.0,18861.0,2.0,6.0,7.0,True,event,Cybersecurity
S-e97b9f,A-a0ca4e,Enterprise,False,2388,28656,annual,True,False,30.0,11788.0,4.0,4.0,4.0,False,ads,Cybersecurity
S-763d33,A-ef84cf,Basic,False,437,5244,annual,False,False,68.0,30204.0,3.0,6.0,6.0,True,partner,EdTech
S-323782,A-7920cc,Basic,False,741,8892,monthly,True,False,29.0,9042.0,0.0,2.0,3.0,False,ads,Cybersecurity
S-1cff18,A-2789e3,Basic,False,209,2508,monthly,True,False,46.0,12807.0,9.0,4.0,5.0,False,partner,FinTech
S-ad39ef,A-e40f45,Pro,True,0,0,annual,True,False,39.0,13353.0,3.0,4.0,4.0,False,organic,HealthTech
S-bf806d,A-7c5768,Basic,False,1178,14136,annual,True,False,38.0,14918.0,4.0,5.0,5.0,True,event,HealthTech
S-36f6ec,A-ccb686,Pro,False,1029,12348,monthly,True,False,34.0,11945.0,0.0,3.0,3.0,False,other,DevTools
S-aff55c,A-bb2f49,Pro,True,0,0,monthly,True,True,64.0,18823.0,2.0,5.0,6.0,True,other,Cybersecurity
S-b9fc6c,A-2ebb4b,Basic,False,779,9348,annual,True,False,44.0,11312.0,6.0,5.0,5.0,True,ads,HealthTech
S-7f8cd8,A-53f4e3,Enterprise,False,3980,47760,monthly,True,True,75.0,24874.0,7.0,8.0,8.0,True,event,Cybersecurity
S-e912e6,A-a8d89d,Enterprise,False,15522,186264,monthly,True,False,47.0,12795.0,1.0,5.0,5.0,True,ads,EdTech
S-fef85a,A-7f8241,Pro,False,1666,19992,annual,True,False,69.0,9246.0,3.0,7.0,7.0,True,organic,EdTech
S-36d5c9,A-54ecc2,Enterprise,False,2189,26268,monthly,True,False,86.0,24459.0,5.0,8.0,8.0,True,partner,Cybersecurity
S-b9ff15,A-95b24a,Enterprise,False,8557,102684,annual,False,False,53.0,18601.0,0.0,4.0,4.0,False,event,FinTech
S-10bd09,A-bbc346,Basic,False,950,11400,annual,True,False,42.0,9279.0,0.0,4.0,4.0,False,partner,FinTech
S-12bfc8,A-31ab9a,Enterprise,False,5771,69252,monthly,False,False,60.0,30674.0,0.0,5.0,5.0,True,organic,FinTech
S-f5c472,A-faa28c,Basic,False,912,10944,monthly,True,False,28.0,2864.0,0.0,3.0,3.0,False,organic,HealthTech
S-dbc1ca,A-8adedc,Enterprise,False,2786,33432,annual,True,False,34.0,9293.0,5.0,4.0,4.0,False,event,EdTech
S-dc6dfd,A-e08cd3,Pro,False,3283,39396,monthly,True,False,33.0,10489.0,3.0,4.0,4.0,False,ads,FinTech
S-b2d472,A-bcf87c,Enterprise,False,1990,23880,annual,False,True,57.0,20913.0,2.0,6.0,6.0,True,event,FinTech
S-9dfce0,A-e6afc1,Pro,False,98,1176,annual,True,False,58.0,9624.0,0.0,7.0,7.0,True,ads,DevTools
S-9cb6a7,A-7f29a7,Basic,False,779,9348,monthly,True,False,14.0,4186.0,0.0,1.0,1.0,False,event,Cybersecurity
S-dabcd2,A-3ce5b8,Pro,True,0,0,monthly,True,False,85.0,29973.0,4.0,8.0,10.0,True,ads,FinTech
S-8c3cc8,A-b2225d,Basic,True,0,0,monthly,True,False,35.0,9130.0,3.0,4.0,4.0,False,ads,FinTech
S-2923fc,A-fa3095,Enterprise,False,13930,167160,annual,True,False,87.0,27528.0,5.0,8.0,8.0,True,ads,FinTech
S-f0a2e5,A-55f257,Basic,True,0,0,annual,True,False,49.0,16855.0,2.0,4.0,5.0,False,organic,FinTech
S-025bea,A-9affe6,Pro,False,833,9996,monthly,True,False,55.0,19774.0,0.0,6.0,6.0,True,other,Cybersecurity
S-0e499f,A-296d7c,Pro,False,784,9408,annual,False,False,20.0,8835.0,0.0,2.0,2.0,False,other,DevTools
S-0267b7,A-65a46c,Enterprise,True,0,0,monthly,True,True,49.0,15046.0,2.0,5.0,5.0,True,event,HealthTech
S-b5b9a5,A-812c5b,Basic,False,1045,12540,monthly,True,False,49.0,13658.0,3.0,6.0,6.0,True,organic,DevTools
S-8e45ba,A-7f8241,Basic,False,646,7752,annual,False,False,78.0,23488.0,4.0,7.0,8.0,True,organic,EdTech
S-37ed34,A-d4ac0e,Enterprise,False,3980,47760,annual,True,False,30.0,10263.0,4.0,4.0,4.0,False,ads,DevTools
S-65dbf3,A-17939a,Basic,False,684,8208,monthly,True,False,25.0,9045.0,0.0,3.0,3.0,False,organic,HealthTech
S-ce5450,A-0a282f,Pro,True,0,0,annual,True,True,80.0,24319.0,5.0,8.0,8.0,True,organic,DevTools
S-6c969d,A-855a48,Basic,False,266,3192,monthly,False,False,50.0,14290.0,1.0,5.0,6.0,True,partner,EdTech
S-522aef,A-f3ff05,Pro,False,196,2352,annual,True,False,14.0,3374.0,0.0,1.0,2.0,False,other,FinTech
S-82db05,A-417d2f,Pro,False,1274,15288,monthly,True,False,43.0,11259.0,3.0,4.0,4.0,False,partner,Cybersecurity
S-162596,A-462d45,Pro,True,0,0,monthly,True,False,23.0,4341.0,1.0,3.0,3.0,False,partner,Cybersecurity
S-f703bd,A-202b67,Pro,False,539,6468,monthly,True,False,28.0,10852.0,1.0,4.0,4.0,False,organic,HealthTech
S-a1d6ad,A-eafc6e,Pro,False,1323,15876,monthly,True,False,53.0,16538.0,3.0,6.0,6.0,True,partner,DevTools
S-8b1fc1,A-309e54,Basic,True,0,0,monthly,True,False,46.0,15816.0,0.0,4.0,4.0,False,other,DevTools
S-09cdac,A-82861f,Basic,False,779,9348,annual,True,True,101.0,25108.0,15.0,8.0,10.0,True,organic,DevTools
S-fa5301,A-ba6516,Pro,True,0,0,monthly,False,False,40.0,12770.0,1.0,3.0,3.0,False,ads,FinTech
S-69937b,A-08e34e,Pro,False,686,8232,annual,False,False,29.0,8023.0,0.0,3.0,3.0,False,event,EdTech
S-f2537d,A-e43bf7,Pro,False,2156,25872,monthly,True,False,89.0,21635.0,4.0,7.0,7.0,True,other,Cybersecurity
S-27f7b2,A-a1b80b,Basic,False,722,8664,annual,True,False,60.0,14177.0,3.0,4.0,6.0,False,organic,HealthTech
S-9c2b8e,A-443f6f,Basic,False,361,4332,annual,True,False,58.0,19192.0,5.0,7.0,8.0,True,organic,Cybersecurity
S-a4f26d,A-32728c,Pro,False,980,11760,monthly,True,False,46.0,14024.0,1.0,4.0,4.0,False,event,DevTools
S-0cb6ed,A-ac85cd,Pro,False,2597,31164,annual,True,True,69.0,17238.0,7.0,6.0,7.0,True,partner,EdTech
S-367dee,A-e19ff6,Pro,False,49,588,annual,True,False,29.0,15059.0,0.0,2.0,2.0,False,partner,Cybersecurity
S-3b9ad8,A-6e08f3,Enterprise,False,5572,66864,monthly,False,False,45.0,10813.0,0.0,4.0,5.0,False,event,Cybersecurity
S-c9f8c1,A-544d0a,Enterprise,False,995,11940,monthly,True,False,28.0,6860.0,1.0,3.0,3.0,False,organic,DevTools
S-57cd05,A-8b0451,Basic,False,779,9348,annual,True,False,48.0,5375.0,3.0,6.0,6.0,True,event,FinTech
S-e505c1,A-8ae3fc,Pro,False,1666,19992,annual,True,False,82.0,22178.0,7.0,7.0,7.0,True,ads,DevTools
S-121b4d,A-8ae3fc,Basic,False,171,2052,annual,True,False,39.0,7290.0,2.0,3.0,3.0,False,ads,DevTools
S-72b4f2,A-4437e4,Pro,False,2401,28812,annual,True,False,33.0,10434.0,7.0,3.0,3.0,False,event,Cybersecurity
S-c9b0cc,A-4d1e75,Enterprise,False,7562,90744,monthly,True,False,17.0,4261.0,0.0,2.0,2.0,False,other,DevTools
S-27c993,A-098560,Enterprise,False,796,9552,monthly,True,False,30.0,11520.0,4.0,2.0,2.0,False,ads,DevTools
S-8b9889,A-ac9111,Pro,False,1029,12348,monthly,True,False,65.0,25711.0,5.0,7.0,7.0,True,event,HealthTech
S-2214c6,A-3c1a3f,Pro,False,4018,48216,monthly,True,False,22.0,7581.0,0.0,2.0,2.0,False,event,DevTools
S-ce695e,A-cb6cc6,Enterprise,True,0,0,annual,False,False,38.0,11033.0,6.0,5.0,5.0,True,ads,DevTools
S-066d80,A-9b9fe9,Pro,False,245,2940,monthly,True,False,0.0,0.0,0.0,0.0,0.0,False,other,EdTech
S-228457,A-029f69,Enterprise,False,4776,57312,annual,True,False,43.0,17978.0,1.0,4.0,5.0,False,event,Cybersecurity
S-e50612,A-c7e58b,Basic,False,247,2964,annual,False,False,57.0,13761.0,2.0,5.0,6.0,True,other,HealthTech
S-64fba3,A-00bed1,Enterprise,False,5572,66864,annual,True,False,70.0,23876.0,0.0,6.0,7.0,True,ads,Cybersecurity
S-2372d2,A-cea1f0,Enterprise,False,4179,50148,annual,False,False,28.0,4043.0,3.0,3.0,3.0,False,event,FinTech
S-2661dc,A-c37cab,Pro,True,0,0,monthly,True,False,48.0,15730.0,6.0,3.0,4.0,False,event,Cybersecurity
S-427275,A-4c38bc,Enterprise,False,7164,85968,annual,True,False,95.0,36690.0,4.0,7.0,8.0,True,event,HealthTech
S-628729,A-157070,Enterprise,False,4577,54924,monthly,True,False,62.0,10519.0,5.0,7.0,8.0,True,ads,FinTech
S-e260ff,A-bcf87c,Enterprise,False,4179,50148,annual,True,False,60.0,11118.0,0.0,6.0,6.0,True,event,FinTech
S-89c03a,A-8ae3fc,Pro,False,441,5292,monthly,True,False,46.0,15561.0,8.0,5.0,5.0,True,ads,DevTools
S-86455a,A-1b9609,Pro,False,588,7056,monthly,True,False,61.0,12124.0,2.0,6.0,6.0,True,ads,EdTech
S-3660bb,A-474ad4,Enterprise,True,0,0,monthly,False,False,29.0,12244.0,1.0,3.0,3.0,False,organic,EdTech
S-6bf7d7,A-9bfc9f,Pro,False,2597,31164,annual,False,False,38.0,17349.0,2.0,3.0,3.0,False,ads,DevTools
S-feccd8,A-812c5b,Enterprise,False,10945,131340,monthly,True,False,15.0,6457.0,1.0,2.0,2.0,False,organic,DevTools
S-0e4b0c,A-39b19f,Pro,False,1176,14112,annual,True,True,45.0,9063.0,1.0,4.0,4.0,False,partner,FinTech
S-0e0578,A-de58ca,Basic,False,285,3420,monthly,True,False,42.0,20778.0,4.0,3.0,3.0,False,organic,HealthTech
S-74538d,A-e60f9d,Pro,False,2254,27048,annual,True,False,17.0,2702.0,0.0,2.0,2.0,False,other,FinTech
S-c2a6cb,A-9affe6,Enterprise,False,1393,16716,annual,False,False,27.0,13110.0,3.0,3.0,3.0,False,other,Cybersecurity
S-1bd2ec,A-e60f9d,Basic,False,722,8664,annual,True,True,57.0,17188.0,2.0,5.0,5.0,True,other,FinTech
S-3cc352,A-d27f50,Pro,False,2156,25872,monthly,True,False,12.0,2856.0,0.0,1.0,1.0,False,ads,Cybersecurity
S-124207,A-fdfc91,Basic,False,551,6612,annual,True,False,38.0,6465.0,0.0,4.0,4.0,False,ads,Cybersecurity
S-76e7d9,A-712f1c,Enterprise,False,8756,105072,monthly,True,False,40.0,11068.0,0.0,4.0,4.0,False,ads,DevTools
S-44f453,A-19b2c8,Enterprise,False,3980,47760,monthly,True,False,24.0,11712.0,2.0,1.0,2.0,False,other,DevTools
S-03a97f,A-f51f16,Pro,False,2940,35280,annual,True,False,46.0,17239.0,6.0,4.0,4.0,False,partner,HealthTech
S-80c01c,A-d3c88e,Basic,False,304,3648,annual,True,False,29.0,5383.0,4.0,2.0,3.0,False,event,DevTools
S-666181,A-eb1312,Basic,False,1349,16188,annual,True,False,18.0,8982.0,0.0,2.0,2.0,False,partner,FinTech
S-401496,A-68f37c,Enterprise,False,796,9552,monthly,True,True,61.0,23440.0,1.0,5.0,6.0,True,ads,HealthTech
S-ca0c98,A-fda07f,Pro,False,343,4116,monthly,True,False,53.0,10193.0,0.0,5.0,5.0,True,partner,Cybersecurity
S-017e33,A-f9cc74,Basic,False,1007,12084,monthly,True,True,61.0,18792.0,7.0,7.0,7.0,True,partner,DevTools
S-183073,A-e7a1e2,Enterprise,False,2786,33432,monthly,True,False,47.0,8574.0,5.0,6.0,6.0,True,event,Cybersecurity
S-22f503,A-7a0d69,Basic,False,114,1368,annual,True,False,24.0,10008.0,1.0,2.0,2.0,False,ads,DevTools
S-7de1b7,A-4d1e75,Enterprise,False,3980,47760,annual,True,False,19.0,1380.0,0.0,2.0,2.0,False,other,DevTools
S-c7f564,A-902ef7,Pro,True,0,0,annual,True,False,111.0,38357.0,6.0,10.0,11.0,True,other,HealthTech
S-ceffe9,A-89ee83,Enterprise,False,398,4776,monthly,True,False,78.0,27595.0,0.0,9.0,9.0,True,organic,Cybersecurity
S-9b2c95,A-e60f9d,Pro,True,0,0,annual,True,True,53.0,15541.0,2.0,4.0,5.0,False,other,FinTech
S-cf6ec1,A-d77f4c,Enterprise,False,4378,52536,monthly,False,False,43.0,12499.0,0.0,3.0,3.0,False,partner,DevTools
S-a44d72,A-b30291,Pro,False,882,10584,monthly,True,False,60.0,19646.0,4.0,5.0,5.0,True,event,HealthTech
S-0b0ffa,A-180abf,Basic,True,0,0,annual,True,True,28.0,7980.0,0.0,2.0,2.0,False,event,DevTools
S-02af5d,A-d82ef9,Enterprise,True,0,0,annual,True,False,29.0,8163.0,0.0,3.0,3.0,False,other,EdTech
S-d07c53,A-249769,Basic,False,399,4788,annual,True,False,73.0,22225.0,5.0,5.0,7.0,True,event,Cybersecurity
S-c67b80,A-eb2fdc,Pro,False,1519,18228,monthly,False,False,50.0,21640.0,2.0,6.0,6.0,True,organic,DevTools
S-5d68fb,A-5f2961,Pro,False,2401,28812,annual,True,False,95.0,24910.0,1.0,8.0,9.0,True,partner,HealthTech
S-fc9cc3,A-9b9fe9,Pro,False,1176,14112,annual,True,False,87.0,28329.0,0.0,8.0,9.0,True,other,EdTech
S-17f71d,A-e40f45,Pro,False,2156,25872,monthly,True,False,94.0,34799.0,4.0,9.0,9.0,True,organic,HealthTech
S-5895f0,A-bcf664,Basic,True,0,0,annual,True,False,35.0,10957.0,1.0,3.0,3.0,False,other,DevTools
S-b042d9,A-0e966d,Enterprise,False,2189,26268,annual,True,False,105.0,32488.0,7.0,10.0,11.0,True,ads,FinTech
S-ffd1ee,A-f03140,Pro,True,0,0,annual,True,False,83.0,22905.0,1.0,6.0,7.0,True,event,DevTools
S-9c4bcd,A-a7bd4b,Pro,False,245,2940,monthly,True,False,86.0,27809.0,2.0,7.0,8.0,True,ads,Cybersecurity
S-4f91d0,A-7f8241,Basic,False,646,7752,monthly,False,False,78.0,24374.0,5.0,7.0,7.0,True,organic,EdTech
S-672f1b,A-eafc6e,Pro,False,1323,15876,monthly,True,False,28.0,4635.0,0.0,3.0,3.0,False,partner,DevTools
S-101201,A-d49cc5,Basic,False,950,11400,annual,True,False,49.0,18271.0,5.0,5.0,5.0,True,event,Cybersecurity
S-eea643,A-54ecc2,Enterprise,False,5572,66864,monthly,True,False,51.0,18984.0,2.0,5.0,5.0,True,partner,Cybersecurity
S-5f9a67,A-6da850,Pro,False,245,2940,annual,True,False,40.0,6141.0,5.0,3.0,4.0,False,organic,FinTech
S-327e7c,A-4e960a,Enterprise,True,0,0,annual,True,False,29.0,9581.0,2.0,3.0,3.0,False,other,FinTech
S-d97c5f,A-533452,Pro,False,4949,59388,monthly,True,False,29.0,4525.0,6.0,3.0,3.0,False,organic,DevTools
S-029c20,A-f44180,Basic,True,0,0,annual,False,False,68.0,19611.0,4.0,5.0,7.0,True,event,Cybersecurity
S-a74462,A-7c83a1,Pro,False,2352,28224,annual,True,False,33.0,14007.0,1.0,2.0,2.0,False,partner,Cybersecurity
S-02ec76,A-e60f9d,Pro,False,1421,17052,monthly,True,False,78.0,17731.0,4.0,8.0,9.0,True,other,FinTech
S-d1c9e3,A-075038,Basic,False,323,3876,annual,True,False,40.0,10464.0,2.0,3.0,3.0,False,ads,HealthTech
S-51d8db,A-cc1d8d,Enterprise,False,1194,14328,annual,True,False,57.0,14687.0,4.0,6.0,6.0,True,other,FinTech
S-c3c85e,A-271f46,Basic,False,722,8664,monthly,True,False,64.0,13646.0,4.0,5.0,6.0,True,event,DevTools
S-44a646,A-1e1b80,Basic,False,950,11400,annual,True,False,46.0,11768.0,0.0,4.0,4.0,False,other,FinTech
S-431c03,A-e4bf56,Enterprise,False,7363,88356,monthly,True,True,40.0,16257.0,1.0,4.0,4.0,False,ads,HealthTech
S-4f0027,A-ff79f2,Enterprise,False,3781,45372,annual,True,True,64.0,24272.0,2.0,6.0,6.0,True,ads,DevTools
S-6c9ee1,A-6da850,Enterprise,True,0,0,monthly,True,False,16.0,2189.0,2.0,2.0,2.0,False,organic,FinTech
S-396a84,A-5b4ebb,Basic,False,399,4788,monthly,False,True,45.0,15624.0,4.0,4.0,4.0,False,other,Cybersecurity
S-6bea24,A-3f9cc0,Basic,True,0,0,monthly,True,False,51.0,8580.0,5.0,6.0,6.0,True,event,HealthTech
S-259804,A-d4ac0e,Basic,False,532,6384,annual,True,False,8.0,1720.0,2.0,1.0,1.0,False,ads,DevTools
S-33e40e,A-86cdb4,Enterprise,False,398,4776,annual,True,True,66.0,32504.0,2.0,7.0,7.0,True,partner,DevTools
S-fbd522,A-310452,Pro,True,0,0,annual,False,False,49.0,14005.0,2.0,4.0,4.0,False,other,DevTools
S-bbafad,A-854864,Basic,False,380,4560,annual,True,True,42.0,12879.0,0.0,4.0,4.0,False,event,FinTech
S-3edc14,A-d82ef9,Pro,True,0,0,annual,True,False,79.0,27802.0,1.0,8.0,9.0,True,other,EdTech
S-11e29d,A-71615e,Basic,False,608,7296,monthly,True,False,52.0,21504.0,6.0,6.0,6.0,True,organic,EdTech
S-1feff8,A-5fe118,Enterprise,False,7761,93132,annual,True,False,16.0,4789.0,1.0,1.0,2.0,False,other,Cybersecurity
S-61e86c,A-39ddf4,Enterprise,False,7960,95520,annual,True,False,38.0,18190.0,11.0,4.0,4.0,False,partner,EdTech
S-af41f0,A-e83938,Basic,False,38,456,annual,False,False,14.0,6448.0,3.0,2.0,2.0,False,other,DevTools
S-65ae02,A-671f31,Pro,False,2891,34692,annual,True,False,18.0,1807.0,2.0,2.0,2.0,False,ads,DevTools
S-f7fccd,A-443b7c,Basic,True,0,0,annual,True,False,39.0,11574.0,4.0,4.0,4.0,False,other,Cybersecurity
S-7904d3,A-d4e0d4,Enterprise,False,23283,279396,monthly,True,True,29.0,10415.0,3.0,3.0,3.0,False,other,FinTech
S-48a54e,A-b2225d,Basic,True,0,0,monthly,True,False,38.0,9776.0,3.0,5.0,5.0,True,ads,FinTech
S-4a08bd,A-e08cd3,Pro,False,3283,39396,annual,False,False,7.0,2086.0,1.0,1.0,1.0,False,ads,FinTech
S-faa8ec,A-2e4581,Basic,False,209,2508,monthly,True,False,42.0,12313.0,0.0,5.0,5.0,True,partner,EdTech
S-8db104,A-4a267b,Pro,False,1225,14700,monthly,True,False,38.0,10573.0,4.0,4.0,4.0,False,other,FinTech
S-3c0121,A-7c83a1,Pro,False,1176,14112,monthly,True,False,76.0,19808.0,0.0,7.0,8.0,True,partner,Cybersecurity
S-13ca37,A-6843f2,Pro,True,0,0,monthly,True,False,84.0,22800.0,4.0,7.0,8.0,True,ads,HealthTech
S-163e64,A-dfbd31,Enterprise,False,12338,148056,monthly,True,False,42.0,17831.0,0.0,4.0,4.0,False,partner,DevTools
S-4d1ba6,A-00cac8,Enterprise,True,0,0,annual,False,False,65.0,22750.0,2.0,6.0,7.0,True,organic,HealthTech
S-e98d6b,A-309e54,Basic,False,285,3420,annual,True,False,53.0,16227.0,4.0,5.0,5.0,True,other,DevTools
S-041624,A-6843f2,Enterprise,False,4179,50148,monthly,True,False,59.0,15568.0,2.0,4.0,5.0,False,ads,HealthTech
S-b78829,A-2e4581,Pro,False,980,11760,monthly,True,False,46.0,13363.0,4.0,4.0,5.0,False,partner,EdTech
S-ca1c21,A-f92792,Basic,True,0,0,annual,False,False,60.0,15022.0,3.0,5.0,5.0,True,ads,FinTech
S-e1de58,A-ce550d,Enterprise,False,6965,83580,annual,True,False,18.0,7589.0,3.0,3.0,3.0,False,event,HealthTech
S-721fea,A-f6b2fb,Pro,False,1127,13524,monthly,True,False,40.0,12311.0,4.0,5.0,5.0,True,event,DevTools
S-eaac58,A-ff3c73,Basic,False,1254,15048,annual,True,False,36.0,15757.0,0.0,4.0,4.0,False,other,HealthTech
S-1218fd,A-2d4502,Basic,False,266,3192,monthly,False,False,61.0,14822.0,0.0,6.0,6.0,True,event,FinTech
S-936732,A-2f6a32,Pro,False,931,11172,annual,True,True,55.0,22924.0,1.0,5.0,5.0,True,organic,HealthTech
S-c2f293,A-69b156,Basic,False,152,1824,monthly,False,True,21.0,2968.0,0.0,2.0,2.0,False,other,EdTech
S-fe3b71,A-44dc83,Enterprise,True,0,0,monthly,True,False,52.0,16461.0,2.0,4.0,5.0,False,other,EdTech
S-f5f5b3,A-89ee83,Basic,False,190,2280,annual,True,True,40.0,5797.0,7.0,3.0,4.0,False,organic,Cybersecurity
S-4afb53,A-40de06,Enterprise,False,5572,66864,monthly,True,True,45.0,10331.0,0.0,4.0,5.0,False,event,Cybersecurity
S-851bbe,A-d77f4c,Enterprise,False,18706,224472,annual,True,False,32.0,8288.0,0.0,3.0,3.0,False,partner,DevTools
S-dab0d5,A-cc1d8d,Basic,True,0,0,monthly,True,False,43.0,8556.0,0.0,4.0,4.0,False,other,FinTech
S-9aa190,A-9b9fe9,Basic,False,627,7524,annual,True,False,30.0,9449.0,0.0,3.0,3.0,False,other,EdTech
S-f89d8c,A-88c6ca,Pro,False,2401,28812,monthly,True,False,99.0,25124.0,2.0,7.0,10.0,True,ads,FinTech
S-766a62,A-1ac5e0,Enterprise,True,0,0,monthly,False,False,44.0,14194.0,0.0,5.0,5.0,True,event,DevTools
